taxon_oid,seq_id,combinedName,protacc,idPercent,len,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore taxid,complet_lineage,complete_taxid,Domain,Sequencing Status,Study Name,Genome Name / Sample Name,Sequencing Center,IMG Genome ID ,Order,Family,Genus,Species,Latitude,Longitude,Genome Size   * assembled,Gene Count   * assembled,Unnamed: 15
3300001144,JGI12645J13327_100018,AllrenameHeader_data1.fa-split-1.fasta.blastout.taxid_serveur_lineage:JGI12645J13327_100018_3300001144:2097-2215,AB555658.1,100.0,118,0,0,1,118,14,131,3.0799999999999997e-53,219 231055 231055,Glomeromycotina;Glomeromycetes;Glomerales;Glomeraceae;environmental samples;uncultured Glomus;,;131567;2759;33154;4751;112252;1913637;214504;214506;36750;36751;231054;231055;,*Microbiome,Permanent Draft,Forest soil microbial communities from multiple locations in Canada and USA,"Forest soil microbial communities from Algoma, Ontario, Canada - Jack Pine, Ontario site 1_JW_OM1H0_O1",DOE Joint Genome Institute (JGI),3300001144,Soil,Loam,Forest soil,Forest soil microbial communities from multiple locations in Canada and USA,46.42,-83.37,16235956,52557,
3300005332,Ga0066388_109188175,AllrenameHeader_data1.fa-split-2.fasta.blastout.taxid_serveur_lineage:Ga0066388_109188175_3300005332:161-249,FN377861.1,96.59100000000001,88,2,1,2,88,1132,1219,3.5e-31,145 1117311 1117311,Glomeromycotina;Glomeromycetes;Glomerales;Glomeraceae;Funneliformis;Funneliformis geosporum;,;131567;2759;33154;4751;112252;1913637;214504;214506;36750;36751;1117308;1117311;,*Microbiome,Permanent Draft,Tropical forest soil microbial communities from Panama analyzed to predict greenhouse gas emissions,Tropical forest soil microbial communities from Panama analyzed to predict greenhouse gas emissions - Panama Soil - Plot 6 (Hybrid Assembly),DOE Joint Genome Institute (JGI),3300005332,Soil,Loam,Forest soil,Tropical forest soil microbial communities from Panama analyzed to predict greenhouse gas emissions,9.1086,-79.8436,17491572566,45672840,
3300005566,Ga0066693_10082771,AllrenameHeader_data1.fa-split-2.fasta.blastout.taxid_serveur_lineage:Ga0066693_10082771_3300005566:386-646,FN377860.2,98.71799999999999,234,3,0,27,260,2040,2273,2.7099999999999997e-112,416 1117309 1117309,Glomeromycotina;Glomeromycetes;Glomerales;Glomeraceae;Funneliformis;Funneliformis coronatus;,;131567;2759;33154;4751;112252;1913637;214504;214506;36750;36751;1117308;1117309;,*Microbiome,Permanent Draft,"Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA","Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA - Sample Angelo_142",DOE Joint Genome Institute (JGI),3300005566,Soil,Unclassified,Grasslands,"Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA",39.7392,-123.6308,1524476116,5099589,
3300010400,Ga0134122_10394485,AllrenameHeader_data1.fa-split-4.fasta.blastout.taxid_serveur_lineage:Ga0134122_10394485_3300010400:721-1027,FN377860.2,87.302,252,26,6,19,268,4282,4529,3.4499999999999997e-72,283 1117309 1117309,Glomeromycotina;Glomeromycetes;Glomerales;Glomeraceae;Funneliformis;Funneliformis coronatus;,;131567;2759;33154;4751;112252;1913637;214504;214506;36750;36751;1117308;1117309;,*Microbiome,Permanent Draft,"Terrestrial soil microbial communities with and without Nitrogen fertilizer from Kellogg Biological Station, Michigan, USA","Terrestrial soil microbial communities without Nitrogen fertilizer from Kellogg Biological Station, Michigan, USA - KB3-0-2",DOE Joint Genome Institute (JGI),3300010400,Soil,Unclassified,Unclassified,"Terrestrial soil microbial communities with and without Nitrogen fertilizer from Kellogg Biological Station, Michigan, USA",42.3938,-85.3708,5077819547,11718665,
3300023265,Ga0247780_1002529,AllrenameHeader_data1.fa-split-6.fasta.blastout.taxid_serveur_lineage:Ga0247780_1002529_3300023265:597-709,AB555658.1,100.0,112,0,0,1,112,14,125,6.199999999999999e-50,207 231055 231055,Glomeromycotina;Glomeromycetes;Glomerales;Glomeraceae;environmental samples;uncultured Glomus;,;131567;2759;33154;4751;112252;1913637;214504;214506;36750;36751;231054;231055;,*Microbiome,Permanent Draft,"Soil microbial communities from Arlington Agricultural Research Station in Wisconsin and Kellogg Biological Station in Michigan, replicating the bioenergy cropping systems trials (BCSTs)","Plant litter microbial communities from Arlington Agricultural Research Station in Wisconsin, United States - UWRJ-L079-202R-5",DOE Joint Genome Institute (JGI),3300023265,Plant litter,Unclassified,Unclassified,"Soil microbial communities from Arlington Agricultural Research Station in Wisconsin and Kellogg Biological Station in Michigan, replicating the bioenergy cropping systems trials (BCSTs)",43.3,-89.38,474305741,1038753,
3300023099,Ga0247803_1088525,AllrenameHeader_data1.fa-split-6.fasta.blastout.taxid_serveur_lineage:Ga0247803_1088525_3300023099:64-475,LR745511.1,94.444,36,0,1,159,192,156,191,0.004,54.7 588596 588596,Glomeromycotina;Glomeromycetes;Glomerales;Glomeraceae;Rhizophagus;Rhizophagus irregularis;,;131567;2759;33154;4751;112252;1913637;214504;214506;36750;36751;1129544;588596;,*Microbiome,Permanent Draft,"Soil microbial communities from Arlington Agricultural Research Station in Wisconsin and Kellogg Biological Station in Michigan, replicating the bioenergy cropping systems trials (BCSTs)","Plant litter microbial communities from Arlington Agricultural Research Station in Wisconsin, United States - UWRJ-L014-104B-1",DOE Joint Genome Institute (JGI),3300023099,Plant litter,Unclassified,Unclassified,"Soil microbial communities from Arlington Agricultural Research Station in Wisconsin and Kellogg Biological Station in Michigan, replicating the bioenergy cropping systems trials (BCSTs)",43.3,-89.38,637855321,1357314,
3300012204,Ga0137374_10087825,AllrenameHeader_data23.fa-split-40.fasta.blastout.taxid_serveur_lineage:Ga0137374_10087825_3300012204:1026-1357,KF060323.1,94.19,327,18,1,5,331,1261,1586,1.2399999999999997e-136,497 1398209 1398209,Glomeromycotina;Glomeromycetes;Glomerales;Glomeraceae;Septoglomus;Septoglomus jasnowskae;,;131567;2759;33154;4751;112252;1913637;214504;214506;36750;36751;1144751;1398209;,*Microbiome,Permanent Draft,"Vadose zone soil and rhizosphere microbial communities from the  Eel River Critical Zone Observatory, Northern California to study diel carbon cycling","Vadose zone soil microbial communities from Sagehorn Ranch, Mendocino, California, USA - Sage1_R_100_16 metaG",DOE Joint Genome Institute (JGI),3300012204,Soil,Unclassified,Unclassified,"Vadose zone soil and rhizosphere microbial communities from the  Eel River Critical Zone Observatory, Northern California to study diel carbon cycling",39.5673,-123.4758,2248500445,4137046,
3300012204,Ga0137374_10159831,AllrenameHeader_data23.fa-split-40.fasta.blastout.taxid_serveur_lineage:Ga0137374_10159831_3300012204:1-1998,EF014401.1,88.96600000000001,2012,159,38,2,1991,1293,3263,0.0,2427 27381 27381,Glomeromycotina;Glomeromycetes;Glomerales;Glomeraceae;Funneliformis;Funneliformis mosseae;,;131567;2759;33154;4751;112252;1913637;214504;214506;36750;36751;1117308;27381;,*Microbiome,Permanent Draft,"Vadose zone soil and rhizosphere microbial communities from the  Eel River Critical Zone Observatory, Northern California to study diel carbon cycling","Vadose zone soil microbial communities from Sagehorn Ranch, Mendocino, California, USA - Sage1_R_100_16 metaG",DOE Joint Genome Institute (JGI),3300012204,Soil,Unclassified,Unclassified,"Vadose zone soil and rhizosphere microbial communities from the  Eel River Critical Zone Observatory, Northern California to study diel carbon cycling",39.5673,-123.4758,2248500445,4137046,
3300012204,Ga0137374_10164660,AllrenameHeader_data23.fa-split-40.fasta.blastout.taxid_serveur_lineage:Ga0137374_10164660_3300012204:623-956,KU219930.1,78.979,333,55,12,2,333,217,535,5.0399999999999997e-51,213 588596 588596,Glomeromycotina;Glomeromycetes;Glomerales;Glomeraceae;Rhizophagus;Rhizophagus irregularis;,;131567;2759;33154;4751;112252;1913637;214504;214506;36750;36751;1129544;588596;,*Microbiome,Permanent Draft,"Vadose zone soil and rhizosphere microbial communities from the  Eel River Critical Zone Observatory, Northern California to study diel carbon cycling","Vadose zone soil microbial communities from Sagehorn Ranch, Mendocino, California, USA - Sage1_R_100_16 metaG",DOE Joint Genome Institute (JGI),3300012204,Soil,Unclassified,Unclassified,"Vadose zone soil and rhizosphere microbial communities from the  Eel River Critical Zone Observatory, Northern California to study diel carbon cycling",39.5673,-123.4758,2248500445,4137046,
3300012204,Ga0137374_10335520,AllrenameHeader_data23.fa-split-40.fasta.blastout.taxid_serveur_lineage:Ga0137374_10335520_3300012204:1-209,KF849654.1,94.969,159,8,0,1,159,479,637,2.2399999999999998e-62,250 231055 231055,Glomeromycotina;Glomeromycetes;Glomerales;Glomeraceae;environmental samples;uncultured Glomus;,;131567;2759;33154;4751;112252;1913637;214504;214506;36750;36751;231054;231055;,*Microbiome,Permanent Draft,"Vadose zone soil and rhizosphere microbial communities from the  Eel River Critical Zone Observatory, Northern California to study diel carbon cycling","Vadose zone soil microbial communities from Sagehorn Ranch, Mendocino, California, USA - Sage1_R_100_16 metaG",DOE Joint Genome Institute (JGI),3300012204,Soil,Unclassified,Unclassified,"Vadose zone soil and rhizosphere microbial communities from the  Eel River Critical Zone Observatory, Northern California to study diel carbon cycling",39.5673,-123.4758,2248500445,4137046,
